"batch_code","item_code","provincia","sector","fecha","proveedor","descripcion","categoria","monto","metodo_pago","notas_originales"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-01-14","N/A","CAJA CHICA 1 + 3000 GASOIL CAMION","CAJA CHICA","18000.0","CASH","PA"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-01-16","N/A","CEMENTO","MATERIALES","256500.0","CASH","UD"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-01-17","N/A","AVANCE CACU 2026","MANO DE OBRA","50000.0","CASH","PA"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-01-24","N/A","SUMINISTRO PIEDRAS RUBEN","MATERIALES","31000.0","CASH","VIAJES"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-01-24","N/A","SUMINISTRO ARENA RUBEN","SERVICIO","15000.0","CASH","VIAJES"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-01-27","N/A","Arena lavada gruesa","MATERIALES","56640.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-01-27","N/A","Grava 1/2"" @ 3/4""","MATERIALES","35400.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-01-27","N/A","Transporte Arena lavada gruesa","SERVICIO","10000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-01-27","N/A","Transporte Grava 1/2"" @ 3/4""","SERVICIO","10000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-01-29","N/A","CAJA CHICA 2","CAJA CHICA","10000.0","CASH","PA"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-02","N/A","Arena lavada gruesa","MATERIALES","28320.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-02","N/A","Grava 1/2"" @ 3/4""","MATERIALES","17700.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-02","N/A","Transporte Arena lavada gruesa","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-02","N/A","Transporte Grava 1/2"" @ 3/4""","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-03","N/A","SUMINISTRO PIEDRAS RUBEN","SERVICIO","15000.0","CASH","VIAJES"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-03","N/A","CAJA CHICA 3","CAJA CHICA","15000.0","CASH","PA"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-03","N/A","CEMENTO","MATERIALES","255000.0","CASH","UD"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-03","N/A","NOMINA 31-01-2026","MANO DE OBRA","472242.51","CASH","PA"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-06","N/A","SUMINISTRO PIEDRAS RUBEN","SERVICIO","30000.0","CASH","VIAJES"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-06","N/A","Arena lavada gruesa","MATERIALES","28320.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-06","N/A","Grava 1/2"" @ 3/4""","MATERIALES","17700.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-06","N/A","Transporte Arena lavada gruesa","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-06","N/A","Transporte Grava 1/2"" @ 3/4""","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-06","N/A","Arreglo Camion Viamar","SERVICIO","9873.28","CASH","PA"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-09","N/A","Arena lavada gruesa","MATERIALES","28320.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-09","N/A","Grava 1/2"" @ 3/4""","MATERIALES","17700.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-09","N/A","Transporte Arena lavada gruesa","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-09","N/A","Transporte Grava 1/2"" @ 3/4""","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-09","N/A","CAJA CHICA 4","CAJA CHICA","15000.0","CASH","PA"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-12","N/A","Arena lavada gruesa","MATERIALES","28320.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-12","N/A","Grava 1/2"" @ 3/4""","MATERIALES","17700.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-12","N/A","Transporte Arena lavada gruesa","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-12","N/A","Transporte Grava 1/2"" @ 3/4""","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-12","N/A","CEMENTO","MATERIALES","255000.0","CASH","UD"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-13","N/A","SUMINISTRO PIEDRAS RUBEN","SERVICIO","15000.0","CASH","VIAJES"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-13","N/A","NOMINA 15-02-2026","MANO DE OBRA","508003.55","CASH","PA"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-02-16","N/A","Arena lavada gruesa","MATERIALES","28320.0","CASH","M3"
